CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
23384000,SUNSET,TARAVAL,VETAG,,4,,9536500,SIGNAL,MCCAIN,2070-TS2-1,MSF,37,,,,ALL,,GPS,,TSP,,,CT 31,MOD DONE,,0,,DONE,,,,,1965,,,0,,0,0,73,,,,POINT (-122.494446 37.742226),04/26/2023 10:24:48 PM,09/25/2023 12:00:13 PM,39,39,10,7,35
21737000,ITALY,MISSION,OPTICOM,,11,,9437500,SIGNAL,MCCAIN,2070-TS2-1,MSF,30,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,MISSION IV,,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1976,,,0,,0,0,54,,,,POINT (-122.4395 37.718468),04/26/2023 10:24:48 PM,09/25/2023 12:00:13 PM,80,80,9,1,28
22245000,GENNESSEE,MONTEREY,,,7,,9393500,SIGNAL,MCCAIN,2070-TS2-1,MSF,32,,,,SOME PHASES,,GPS,,,,,,NONE,,0,,,,,,,1972,,,0,,0,0,55,,,,POINT (-122.45115 37.731537),04/26/2023 10:24:48 PM,09/25/2023 12:00:13 PM,95,95,9,8,41
24756000,CLAY,MONTGOMERY,OPTICOM,,3,,9279000,SIGNAL,MCCAIN,2070-TS2-1,MSF,78,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,,MOD DONE,,0,,DONE,,,SALES TAX,,1967,,,0,,0,0,16,,,,POINT (-122.40314 37.794666),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,104,104,6,3,6
25004000,MASON,PINE,,,3,,9479000,SIGNAL,EAGLE,2070-TS2-1,XXXXXMSF-TS2-TYPE-1,78,,,,ALL,,GPS,,,,,PINE,FULL DONE,10/00,0,NONE,NONE,DONE,NONE,SALES TAX,,1949,,,0,,0,0,63,,,,POINT (-122.41062 37.790882),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,16,16,6,3,21
25148000,EDDY,LARKIN,,,5,,9313500,SIGNAL,EAGLE,2070-TS2-1,G,78,,,,ALL,,GPS,,,,,PCS2010 BATCH 2,MOD DONE,,0,NONE,DONE,NONE,NONE,,,1955,,,0,,0,0,45,,,,POINT (-122.41753 37.78331),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,20,20,5,10,36
21346000,26TH ST,VALENCIA,,,8.9,,9148500,SIGNAL,MCCAIN,2070-TS2-1,MSF,24,,,,ALL,,GPS,,,,,VALENCIA,FULL DONE,,1995,NONE,NONE,DONE,NONE,SALES TAX,,1980,,,0,,0,0,79,,,,POINT (-122.42036 37.748905),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,53,53,3,5,20
24693000,CLAY,FRONT,,,3,,9277500,SIGNAL,MCCAIN,2070-TS2-1,MSF,78,,,,ALL,,GPS,,,,,,NONE,,0,,,,,,,1973,,,0,,0,0,16,,,,POINT (-122.39915 37.795162),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,108,108,6,3,8
24377000,15TH ST,VALENCIA,,,9,,9083000,SIGNAL,MCCAIN,2070-TS2-1,G,22,,,,ALL,,GPS,,,,,VALENCIA,FULL DONE,,1995,NONE,NONE,DONE,NONE,SALES TAX,,1967,,,0,,0,0,79,,,,POINT (-122.42204 37.76654),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,53,53,3,2,20
24513000,03RD ST,HARRISON,OPTICOM,,6,,9017500,SIGNAL,MCCAIN,2070-TS2-1,MSF-TALL,74,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,HARRISON,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1956,,,0,,0,0,39,,,,POINT (-122.397385 37.782555),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,32,32,1,10,8
